resume_id,Category,role_bucket,skill
92069209,INFORMATION-TECHNOLOGY,IT Support,Project Management
13405733,INFORMATION-TECHNOLOGY,Software Engineering,Agile
13405733,INFORMATION-TECHNOLOGY,Software Engineering,Communication
13405733,INFORMATION-TECHNOLOGY,Software Engineering,Excel
13405733,INFORMATION-TECHNOLOGY,Software Engineering,Oracle
13405733,INFORMATION-TECHNOLOGY,Software Engineering,Project Management
13405733,INFORMATION-TECHNOLOGY,Software Engineering,Python
13405733,INFORMATION-TECHNOLOGY,Software Engineering,SQL
28697203,INFORMATION-TECHNOLOGY,Software Engineering,Agile
28697203,INFORMATION-TECHNOLOGY,Software Engineering,Communication
28697203,INFORMATION-TECHNOLOGY,Software Engineering,Kanban
28697203,INFORMATION-TECHNOLOGY,Software Engineering,Project Management
28697203,INFORMATION-TECHNOLOGY,Software Engineering,Scrum
28035460,INFORMATION-TECHNOLOGY,DevOps & Cloud,Communication
28035460,INFORMATION-TECHNOLOGY,DevOps & Cloud,Problem Solving
21283365,INFORMATION-TECHNOLOGY,DevOps & Cloud,Communication
21283365,INFORMATION-TECHNOLOGY,DevOps & Cloud,Project Management
21283365,INFORMATION-TECHNOLOGY,DevOps & Cloud,R
17987433,INFORMATION-TECHNOLOGY,Data & Analytics,Go
10553553,INFORMATION-TECHNOLOGY,IT Support,Communication
10553553,INFORMATION-TECHNOLOGY,IT Support,SQL
10553553,INFORMATION-TECHNOLOGY,IT Support,Scrum
15118506,INFORMATION-TECHNOLOGY,Mobile Development,Communication
15118506,INFORMATION-TECHNOLOGY,Mobile Development,Project Management
15118506,INFORMATION-TECHNOLOGY,Mobile Development,R
18176523,INFORMATION-TECHNOLOGY,DevOps & Cloud,Problem Solving
18176523,INFORMATION-TECHNOLOGY,DevOps & Cloud,SQL
24020470,INFORMATION-TECHNOLOGY,DevOps & Cloud,Problem Solving
70089206,INFORMATION-TECHNOLOGY,Software Engineering,Java
70089206,INFORMATION-TECHNOLOGY,Software Engineering,JavaScript
70089206,INFORMATION-TECHNOLOGY,Software Engineering,Linux
70089206,INFORMATION-TECHNOLOGY,Software Engineering,Oracle
70089206,INFORMATION-TECHNOLOGY,Software Engineering,Project Management
70089206,INFORMATION-TECHNOLOGY,Software Engineering,SQL
27770859,INFORMATION-TECHNOLOGY,Mobile Development,Communication
27770859,INFORMATION-TECHNOLOGY,Mobile Development,HTML
27770859,INFORMATION-TECHNOLOGY,Mobile Development,Linux
27770859,INFORMATION-TECHNOLOGY,Mobile Development,MySQL
27770859,INFORMATION-TECHNOLOGY,Mobile Development,PHP
27770859,INFORMATION-TECHNOLOGY,Mobile Development,Project Management
57002858,INFORMATION-TECHNOLOGY,IT Support,Communication
57002858,INFORMATION-TECHNOLOGY,IT Support,Excel
57002858,INFORMATION-TECHNOLOGY,IT Support,Problem Solving
57002858,INFORMATION-TECHNOLOGY,IT Support,SQL
28126340,INFORMATION-TECHNOLOGY,Software Engineering,CSS
28126340,INFORMATION-TECHNOLOGY,Software Engineering,HTML
28126340,INFORMATION-TECHNOLOGY,Software Engineering,JavaScript
28126340,INFORMATION-TECHNOLOGY,Software Engineering,Linux
28126340,INFORMATION-TECHNOLOGY,Software Engineering,MySQL
28126340,INFORMATION-TECHNOLOGY,Software Engineering,Oracle
28126340,INFORMATION-TECHNOLOGY,Software Engineering,PHP
28126340,INFORMATION-TECHNOLOGY,Software Engineering,Project Management
28126340,INFORMATION-TECHNOLOGY,Software Engineering,SQL
37242217,INFORMATION-TECHNOLOGY,Software Engineering,C++
37242217,INFORMATION-TECHNOLOGY,Software Engineering,CSS
37242217,INFORMATION-TECHNOLOGY,Software Engineering,Express
37242217,INFORMATION-TECHNOLOGY,Software Engineering,Java
37242217,INFORMATION-TECHNOLOGY,Software Engineering,JavaScript
37242217,INFORMATION-TECHNOLOGY,Software Engineering,Linux
37242217,INFORMATION-TECHNOLOGY,Software Engineering,MySQL
37242217,INFORMATION-TECHNOLOGY,Software Engineering,Oracle
37242217,INFORMATION-TECHNOLOGY,Software Engineering,PHP
37242217,INFORMATION-TECHNOLOGY,Software Engineering,Project Management
37242217,INFORMATION-TECHNOLOGY,Software Engineering,SQL
10089434,INFORMATION-TECHNOLOGY,DevOps & Cloud,Azure
10089434,INFORMATION-TECHNOLOGY,DevOps & Cloud,C++
10089434,INFORMATION-TECHNOLOGY,DevOps & Cloud,CSS
10089434,INFORMATION-TECHNOLOGY,DevOps & Cloud,HTML
10089434,INFORMATION-TECHNOLOGY,DevOps & Cloud,Java
10089434,INFORMATION-TECHNOLOGY,DevOps & Cloud,Linux
10089434,INFORMATION-TECHNOLOGY,DevOps & Cloud,SQL
11957080,INFORMATION-TECHNOLOGY,Mobile Development,Communication
11957080,INFORMATION-TECHNOLOGY,Mobile Development,Excel
11957080,INFORMATION-TECHNOLOGY,Mobile Development,HTML
11957080,INFORMATION-TECHNOLOGY,Mobile Development,Linux
11957080,INFORMATION-TECHNOLOGY,Mobile Development,R
11957080,INFORMATION-TECHNOLOGY,Mobile Development,SQL
11957080,INFORMATION-TECHNOLOGY,Mobile Development,Vue
35325329,INFORMATION-TECHNOLOGY,Quality Assurance,Agile
35325329,INFORMATION-TECHNOLOGY,Quality Assurance,Project Management
35325329,INFORMATION-TECHNOLOGY,Quality Assurance,Scrum
10840430,INFORMATION-TECHNOLOGY,Security,Communication
10840430,INFORMATION-TECHNOLOGY,Security,Problem Solving
10840430,INFORMATION-TECHNOLOGY,Security,Project Management
64017585,INFORMATION-TECHNOLOGY,Data & Analytics,Linux
19850482,INFORMATION-TECHNOLOGY,IT Support,Project Management
52618188,INFORMATION-TECHNOLOGY,Quality Assurance,Communication
52618188,INFORMATION-TECHNOLOGY,Quality Assurance,Excel
52618188,INFORMATION-TECHNOLOGY,Quality Assurance,Oracle
52618188,INFORMATION-TECHNOLOGY,Quality Assurance,Problem Solving
52618188,INFORMATION-TECHNOLOGY,Quality Assurance,Project Management
28897981,INFORMATION-TECHNOLOGY,Software Engineering,CSS
28897981,INFORMATION-TECHNOLOGY,Software Engineering,Communication
28897981,INFORMATION-TECHNOLOGY,Software Engineering,HTML
28897981,INFORMATION-TECHNOLOGY,Software Engineering,Linux
28897981,INFORMATION-TECHNOLOGY,Software Engineering,MySQL
28897981,INFORMATION-TECHNOLOGY,Software Engineering,PHP
28897981,INFORMATION-TECHNOLOGY,Software Engineering,Problem Solving
28897981,INFORMATION-TECHNOLOGY,Software Engineering,R
51639418,INFORMATION-TECHNOLOGY,Data & Analytics,Communication
51639418,INFORMATION-TECHNOLOGY,Data & Analytics,Linux
51639418,INFORMATION-TECHNOLOGY,Data & Analytics,Oracle
51639418,INFORMATION-TECHNOLOGY,Data & Analytics,Project Management
51639418,INFORMATION-TECHNOLOGY,Data & Analytics,SQL
20674668,INFORMATION-TECHNOLOGY,Software Engineering,C++
20674668,INFORMATION-TECHNOLOGY,Software Engineering,CSS
20674668,INFORMATION-TECHNOLOGY,Software Engineering,HTML
20674668,INFORMATION-TECHNOLOGY,Software Engineering,Java
20674668,INFORMATION-TECHNOLOGY,Software Engineering,JavaScript
20674668,INFORMATION-TECHNOLOGY,Software Engineering,Oracle
20674668,INFORMATION-TECHNOLOGY,Software Engineering,PHP
20674668,INFORMATION-TECHNOLOGY,Software Engineering,Problem Solving
20674668,INFORMATION-TECHNOLOGY,Software Engineering,Python
20674668,INFORMATION-TECHNOLOGY,Software Engineering,SQL
20674668,INFORMATION-TECHNOLOGY,Software Engineering,Selenium
23527321,INFORMATION-TECHNOLOGY,Software Engineering,Communication
23527321,INFORMATION-TECHNOLOGY,Software Engineering,R
18159866,INFORMATION-TECHNOLOGY,Data & Analytics,Kanban
18159866,INFORMATION-TECHNOLOGY,Data & Analytics,Oracle
18159866,INFORMATION-TECHNOLOGY,Data & Analytics,Project Management
22776912,INFORMATION-TECHNOLOGY,DevOps & Cloud,R
22776912,INFORMATION-TECHNOLOGY,DevOps & Cloud,SQL
23864648,INFORMATION-TECHNOLOGY,DevOps & Cloud,Linux
